p1_category	p1	p2_category	p2	rg	se	z	p	q
Anthropometric	Height	Anthropometric	BMI	-0.0587	0.024	-2.4421	0.014602	0.136797684
Anthropometric	Height	Metabolic	TC	-0.0778	0.0344	-2.2634	0.023611	0.188695257
Anthropometric	Height	Metabolic	HDL-C	-0.0045	0.0364	-0.123	0.90208	0.971590187
Anthropometric	Height	Metabolic	LDL-C	-0.1245	0.0426	-2.9228	0.0034689	0.050126245
Anthropometric	Height	Metabolic	TG	-0.0426	0.0309	-1.3792	0.16782	0.523651888
Anthropometric	Height	Metabolic	BS	0.0495	0.0405	1.2239	0.22101	0.59951967
Anthropometric	Height	Metabolic	HbA1c	-0.0245	0.0416	-0.5887	0.55609	0.836270522
Anthropometric	Height	Protein	TP	-0.0571	0.0341	-1.6723	0.094458	0.40350515
Anthropometric	Height	Protein	Alb	-0.0071	0.0356	-0.2005	0.84106	0.949912295
Anthropometric	Height	Protein	NAP	-0.0787	0.0328	-2.3972	0.016522	0.149422984
Anthropometric	Height	Protein	A/G	0.0456	0.0325	1.4062	0.15966	0.511381649
Anthropometric	Height	Kidney-related	BUN	0.0229	0.0316	0.7252	0.4683	0.784738966
Anthropometric	Height	Kidney-related	sCr	0.0925	0.0293	3.1559	0.0016	0.028610046
Anthropometric	Height	Kidney-related	eGFR	-0.0827	0.0287	-2.8825	0.0039449	0.054780952
Anthropometric	Height	Kidney-related	UA	0.0173	0.0266	0.6487	0.51654	0.813664779
Anthropometric	Height	Electrolyte	Na	5.00E-04	0.0365	0.0149	0.98813	0.995429715
Anthropometric	Height	Electrolyte	K	0.0289	0.0373	0.7745	0.43865	0.76994827
Anthropometric	Height	Electrolyte	Cl	0.0181	0.0353	0.5138	0.60742	0.864337471
Anthropometric	Height	Electrolyte	Ca	-0.1153	0.043	-2.6811	0.0073387	0.085024702
Anthropometric	Height	Electrolyte	P	-0.009	0.0606	-0.148	0.88233	0.963635215
Anthropometric	Height	Liver-related	TBil	0.1242	0.0383	3.2404	0.0011938	0.022592308
Anthropometric	Height	Liver-related	ZTT	-0.0401	0.08	-0.5014	0.6161	0.866300754
Anthropometric	Height	Liver-related	AST	-0.0565	0.0317	-1.7854	0.074195	0.356956613
Anthropometric	Height	Liver-related	ALT	-0.0545	0.0323	-1.6898	0.091061	0.398430029
Anthropometric	Height	Liver-related	ALP	-0.0284	0.0303	-0.9382	0.34815	0.712278706
Anthropometric	Height	Liver-related	GGT	-0.0214	0.0314	-0.6822	0.49512	0.799872079
Anthropometric	Height	Other biochemical	APTT	0.016	0.0519	0.3072	0.75872	0.91787072
Anthropometric	Height	Other biochemical	PT	0.1744	0.0537	3.2457	0.0011717	0.022382328
Anthropometric	Height	Other biochemical	Fbg	-0.2887	0.209	-1.3816	0.16711	0.521852281
Anthropometric	Height	Other biochemical	CK	0.0716	0.0315	2.2722	0.023075	0.187084265
Anthropometric	Height	Other biochemical	LDH	-0.0762	0.0417	-1.8272	0.067663	0.339268
Anthropometric	Height	Other biochemical	CRP	-0.0028	0.0669	-0.0419	0.96661	0.992813323
Anthropometric	Height	Hematological	WBC	-0.0929	0.0318	-2.9189	0.0035126	0.050571109
Anthropometric	Height	Hematological	Neutro	-0.0985	0.0357	-2.759	0.0057986	0.071631917
Anthropometric	Height	Hematological	Eosino	-0.0247	0.0409	-0.6031	0.54642	0.831853333
Anthropometric	Height	Hematological	Baso	-0.0145	0.0436	-0.3324	0.73959	0.911045882
Anthropometric	Height	Hematological	Mono	-0.0703	0.0385	-1.8246	0.068061	0.33995775
Anthropometric	Height	Hematological	Lym	-0.0851	0.0384	-2.2158	0.026705	0.207493611
Anthropometric	Height	Hematological	RBC	-0.0059	0.0295	-0.2016	0.84023	0.949912295
Anthropometric	Height	Hematological	Hb	-0.006	0.0365	-0.1642	0.86957	0.960574364
Anthropometric	Height	Hematological	Ht	0.0134	0.0347	0.386	0.69947	0.9012973
